id,prob,any_identity,comment_text,counter_speech,negation,self_identification,quotation_or_report,question,manual_category,label_arguable,coding_note
784706,0.6489,1,"That's not bullying,  that's doing the Church a service. Archbishop Chaput made a dreadful mistake ignoring Lepanto's warnings about Nutter and Wolf, two of the most high profile, anti Catholic people in Philadelphia.  One wonders whether this was concealed from the Archbishop by his Curia. 
It's  almost as bad as Mo Rocco being chosen to read a lesson before the Pope in New York because he is a homosexual.",0,1,0,0,0,group_directed_derogation,1,treats being homosexual as disqualifying for a church reading
794904,0.6965,1,"His complaints are all just so silly and imaginary....this nation has had a wall on both its Northern and Southern borders for many decades.   The current president deported many thousands of illegal immigrants....we already have laws that protect our borders.  We already have vetting systems for Muslim extremists, and we have already deported Muslim extremists.  We already know that Muslim extremists are responsible for terrorist acts.

All of MSW's deep and dark concerns about Trump have * no * foundation in fact.    Don't be fooled by this guy's pitch.  Read him carefully, and you find he convicts others based on his fevered imagination of the future.",0,1,1,0,0,hostility_not_group_directed,0,'silly and imaginary'; dismissal of another writer's argument
882562,0.7413,1,"Thanks, Mollie. Clearly, he's a baiter--a masterbaiter--a misogynistic low-life who wants to control women's bodies. Interesting how control freaks like Harry always claim to have a ""heart,"" yet disrespect women and care nothing for the lives of women and children after they're born. Funny he's telling me to grow up after bragging about his supposed education--another Trump University mentally-unstable Rethug/Tbagger.",0,0,0,1,0,hostility_not_group_directed,1,insults one commenter; 'mentally-unstable' used as a slur
947446,0.7246,1,You've just called the innocent Canadians he murdered Islamic terrorists.  No surprise.,0,0,0,0,0,counter_speech,0,rebukes someone for calling murder victims Islamic terrorists
4970434,0.937,1,What about Trump adding to his promise to ban all Muslims from entering the US a ban on white right wing extremists who go around shooting dark -kinned US citizens? They are just as or more likely to attack than Muslim extremists.,0,0,0,0,0,counter_speech,0,argues against a Muslim ban by pointing at white extremist violence
5002363,0.5032,1,"Canadians are clueless as to the actual behaviour of many of these migrants. They riot, they commit acts of terrorism, they harass and rape women. You cannot now find a single European country that does not have civil unrest problems from migrants. It does not matter what language is spoken, or the country's culture, food habits etc. The complaints by migrants are always the same and the bad behaviour is always the same.",0,1,0,0,0,group_directed_derogation,1,"'they riot, they commit acts of terrorism, they harass and rape women' about migrants"
5041332,0.8628,1,"Trump supporters are divided between the poor and uneducated white trash that will be giving up everything, healthcare, WIC, and possibly their Earned Income Credits tax relief from having lots of kids.  They will suffer greatly, and guess what, the other half of Trump supporters are people that make over 500 grand per year, and they are getting tax relief by starving out the poor Trump supporters and denying them healthcare.  They are happy, they don't care about the ""base"".",0,1,0,1,0,group_directed_derogation,1,'poor and uneducated white trash'
5048215,0.5737,1,"I know that I would be happy to see the authorities publish the names and pictures of people who commit hate crimes, and those who choose to belong to terroristic hate groups.  This gives common people the chance to recognize such people and take defensive action if we encounter them in public.  I don't want to be a victim of terror, regardless of whether it is some white supremacist or a radicalized religious nutcase.",0,1,0,0,0,hostility_not_group_directed,0,"'nutcase' aimed at terrorists, not at a demographic group"
5052533,0.5827,1,"I'm glad that it wasn't a Muslim. Imagine the energy that would have been given to the yo-yo racists who blame all Muslims for those who do violence in the name of their religion. 

 Jews are understandably  angry and  upset that it was one of their own, a troubled 19 year old angry at being rejected by the Israeli Army.",0,1,1,0,0,counter_speech,0,objects to blaming all Muslims for individual violence
5058821,0.7251,1,"Islamists are blowing-up or otherwise killing Muslims in Syria, Iraq, Iran, Afghanistan, Pakistan, Yemen and Bangladesh. ISIS attracted tens-of-thousands of Muslims from around the world to go to Syria to kill Muslims (and others, of course). That wasn't revenge against the West. That was to replace a secular govt with a theocratic, Islamist govt. Islamists have also engaged in terrorist attacks against Russia and China.

Not to mention the fact that anyone anywhere in the world who commits blasphemy or apostasy, or otherwise insults Islam, could be killed",1,1,0,0,0,identity_topic_neutral,0,analytical; distinguishes Islamists from Muslims. Violence vocabulary drives the flag
5145938,0.5648,1,"lukecanada, do you really have to use the pejorative ""loser"" whenever someone posts something you don't agree with? Grow up, man!",0,1,0,1,0,counter_speech,0,objects to another commenter's use of a pejorative
5197651,0.5616,1,Wonder how many commenters here are the dudes with man buns n mullets. Women who are just a lil bit bulldyke. Oh and toss in some tats n piercings and you get the idea. Know nothing loudmouths. LOL.,0,0,0,0,0,group_directed_derogation,1,'bulldyke' -- a slur
5206718,0.7214,1,"Oh Hillary give us a break.    You had everything in your favor -- a corrupt democratic party doing everything they could to help you beat Bernie, more money, people feeding you questions before hand, support from a favorable president, a decent economy, support from minorities,  the list goes on and on --  and yet you couldn't beat a loud mouth buffoon because white women didn't trust you.  Every thing else is a smoke screen to cover up  your own incompetence.",0,1,0,0,0,hostility_not_group_directed,0,political criticism of a candidate; 'white women' is demographic description
5270253,0.5601,1,"We have a government built on bribery and corruption, with the politicians not even hiding that they have to be bribed in order to get any legislation crafted and voted on. A gov't no different than Imperial Roman Empire, who needed to invade and occupy other countries to leech like parasites off others resources and lands.
100 million Natives were slaughtered in this hemisphere and when we foist the same policies of colonialism on the Mideast, the MidEasterners start foaming at the mouth and along comes 9/11 and our forever self inflicted war on terrorism.
Donald Trump, McConnell, Sullivan are crooked and corrupt and represent the so called Christians, who have gotten their tickets on the hellbound train. And I hope they take a lot of their supporters with them",0,1,1,0,0,group_directed_derogation,1,"'so called Christians, who have gotten their tickets on the hellbound train'"
5299090,0.8916,1,"JohnJohn writes:

""Trump is an influential Multi-Billionaire , family man and POTUS, how is he in trouble, do tell?""

--

A large portion of the world thinks he's an unhinged idiot?

His wife can't stand him?

He will resign the office of POTUS in disgrace within two years?

All of the above?",0,1,0,1,1,hostility_not_group_directed,1,"quotes a supporter, then insults the politician ('unhinged idiot')"
5326597,0.5725,1,Now Eugene has a White Female Professional Racial Plaintiff..........,0,0,0,0,0,group_directed_derogation,1,sneers at a person through racial and gender labels
5510476,0.6303,1,I feel sorry for your boys. You are an unfit mother. Does the father have any say? Probably not. These boys will grow up to resent you and resent woman.,0,1,0,0,0,hostility_not_group_directed,1,direct personal attack on a mother ('you are an unfit mother')
5584315,0.8318,1,"I'm a racist for supporting someone's right to self defense? 

Here's the reality: you automatically take the side of the white thug who attacked a homeless person,  and blame the black guy who was defending himself from white thuggery.",0,0,1,0,0,hostility_not_group_directed,0,accuses the interlocutor of a racial double standard; 'white thug' is one attacker
5660229,0.5052,1,"A woefully amateurish piece too easy to pick apart. 

“white supremacist, heteronormative and patriarchal” – With plenty of black (tribal) supremacists on the continent, you have to wonder why black Africans die in their thousands each year trying to reach ‘white supremacist’ Europe. You'll also be hard pressed to find a continent that’s more heteronormative and patriarchal than Africa. 

“African leadership is mediocre” – that’s because Africans are mediocre? 

""why we would even expect strong leadership in the absence of a serious project of epistemic and social re-engineering"" – plenty of African cultural traits could be abandoned for its betterment. But no one wants to admit their culture is flawed, like being told to produce less children than you can feed or to save money instead of splurging on (Western) material excesses.

“Pan African realisation of combined potential” - the naive dream that a magical shared experience can unite the most ethnically diverse continent.",0,1,0,1,0,group_directed_derogation,1,'that's because Africans are mediocre?' and generalisations about African culture
5712708,0.7222,1,"Contempt for the feminine!!??  God almighty!  Hetero men sexually desire women, to the exclusion of men.  This is the very OPPOSITE of contempt for women.  They choose women as the loves of their lives.  

It would be far more true to say that homosexual men have contempt for their own masculinity.  Thank you for inadvertently putting your finger on precisely what it is that is so unnatural about male homosexual conduct.",0,0,0,0,0,group_directed_derogation,1,calls male homosexual conduct unnatural
5717343,0.5827,1,Pocho is right. Have seen this guy several times at Ala Moana Park and he is constantly mad at something or someone. Have only seen him yell at elderly or females and yes he is obviously mentally ill. He's pretty impressive physically so can be very intimidating but every time the cops come he calms down so he knows enough to only yell at people he knows will not kick his ass. But he will hurt someone eventually. Maybe even maim or kill if he gets in his rants which is pretty scary the first time you see him. The lifeguards don't even bother with this guy anymore after seeing him daily.,0,1,0,0,0,identity_topic_neutral,0,"describes one man at a park; 'mentally ill' used descriptively, not as abuse"
5731426,0.8771,1,"'Diversity' nowadays means you are racist towards white people, sexist towards men and xenophobic of Christians.",0,0,0,0,0,identity_topic_neutral,0,"four identity terms in one sentence, no insult -- a clean shortcut false positive"
5793424,0.7077,1,"Trumka, Obamas butt boy.",0,0,0,0,0,hostility_not_group_directed,1,'Obamas butt boy' -- insult at a named person
5795582,0.7209,1,"He's far too bloated to be a member of anything called ""the master race"". White privilege is being a syphilitic tub of lard yet thinking you are a better example of human.",0,0,0,1,0,hostility_not_group_directed,1,mocks a white supremacist with body insults
5845980,0.5668,1,"I know, I get caught up in that when I shouldn't. Time waster. Maybe in this case it's because I've seen the damage homophobia can do. I even know hetero men who have been ""gay bashed"" because they ""looked"" gay. One friend was even holding hands w/his wife @ the time, just minding their own business, walking down the street, when these horrid young men started pounding him and yelling that he was a ""F-ing f-g-t."" Then they ran away. Never caught of course. My friend wasn't seriously hurt but it was very frightening.",0,1,1,1,0,quoted_hostility,0,reports a gay-bashing and quotes the slur the attackers used; author condemns it
5870484,0.5886,1,"Spicer was irritated when Trump overlooked him on Trump's phony visit to the Pope. However, Spicer isn't the only phony to make the trip to Rome. Callista Gingrich, a Catholic and having] slept with the philanderer Newt for 7 years while he was still married, is Trump's new envoy to the Vatican! Let’s not leave out our duplicitous first lady, also a Catholic.. She was known to have cavorted with our Liar-in-Chief prematurely. Then, leaving her Stilettos in the WH she accompanied Trump to the Vatican. She humbled herself before the Pontiff by wearing a black veil. I don’t know how the Pope deals with the phonies?",0,1,1,0,1,hostility_not_group_directed,1,insults named individuals; 'Catholic' is used as a label for the accusation
5915865,0.7192,1,"What white supremacist made you become a Republican? One need not have had any trouble with cops to know that they are criminals. Have you been murdered? Well, how do you know murder is bad? You're replete with fallacies of logic, aren't you?",0,1,0,0,1,hostility_not_group_directed,0,heated argument about police and white supremacy
5944769,0.5261,1,"Are you kidding , the ragging left wing establishment appears to dislike everything Jewish.",0,0,0,0,0,identity_topic_neutral,0,claim about antisemitism on the left; no hostility toward Jews
5992023,0.6575,1,"What about inaccurate info from the parents?

I'd rather see a kid understand that being gay is something they are born with, and learn that from school, than see that kid be told by his/her parents that he/she is evil and going to Hell....and then wind up killing themselves.",0,0,0,0,0,counter_speech,0,argues against telling gay children they are evil
5995534,0.6444,1,"You are believing the liberal lies.   It is not widely reported so it must not be so.  First off, let me ask you a question.  Is it okay for a woman to have sex with a drunk guy?  If you say yes, then I will also ask then why is it wrong for a guy to have sex with a drunk woman?
http://www.vocativ.com/underworld/crime/hard-truth-girl-guy-rape/",0,1,0,1,0,hostility_not_group_directed,1,consent argument that minimises assault; 'liberal lies'
6017026,0.5023,1,"""Nut house""? Dear deluded gj chap, do you mean, hospital for people with mental illness? ""My gawd""? Did you mean, 'God'? It's okay, you can use the adult words. ""the patients""? Did you mean commenters who don't share your SJW virtue-signaling theatrical hysterics? Wow, and this crap you post passes for intelligent civilized discourse? What a disgrace. Perhaps you should take your meds and try to calm down. Interesting that this comment has now been up for 13 hours and has not been flagged. A closed forum indeed. Lefties of Canada unite!",0,1,1,1,0,hostility_not_group_directed,1,personal attack using a mental-health taunt ('take your meds')
6103403,0.8984,1,"How ridiculous. It takes 14 people on a commission to ""enlighten"" ""The One Church of Christ""..... Enlightenment 101seminar
AM. session.....
Raping kids is wrong.
Hiding pedophile clergy is wrong.
Hurting victims is wrong.
Keeping dangerous secrets is wrong.
Transparency is good, coming totally clean is the only way this organization can move forward.
PM Session......
Release all of the secret files, This is good
Quit Lying this is also good.
Remove offenders.
Punish enablers.
Reach out with loving concern and take care of victims.Yes this means quit fighting them.

For decades, this organization has been told countless times by many experts,  what needs to be done to move forward from the Churches ruthless response to the rape of children and it's cover up. 
This stonewalling dog and pony show is a disgusting delay tactic to protect complicit bishops allowing them to retire with dignity. 
The church still places the protection of the ordained over the protection of your kids. 
Sad",1,0,0,1,0,counter_speech,0,condemns clergy abuse and its cover-up; abuse vocabulary drives the flag
6145866,0.8257,1,White Privilege is just a way of justifying Black Failure.,0,0,0,0,0,group_directed_derogation,1,'White Privilege is just a way of justifying Black Failure'
6147164,0.5002,1,"The sexual language of the alt-right...calling Democrats ""cucks"" (short for cuckolds), claiming to be ""real men"", portraying Trump as Daddy and a western sheriff. Even Freud would need some extra time to unpack all the insecurities present in these!",0,0,0,1,0,quoted_hostility,0,analytical; quotes the alt-right's own slur ('cucks')
6171335,0.9693,1,"That may be true, but he is absolutely wrong and dumb. Off-the-charts wrong to glorify economic gain attained via horrible brutality  ('at least America had 200 years in the sun...'). And to imply that that is better than the current state without slavery (ie. only white people's welfare is worth considering).",0,0,0,0,0,counter_speech,0,criticises someone for glorifying the economics of slavery
6185870,0.5542,1,Trump is racist Americas response to the thought of losing their white privilege.,0,0,0,0,0,identity_topic_neutral,0,one-sentence political claim; 'racist' and 'white privilege' drive the flag
6216087,0.5732,1,"Masculinity is no more toxic than Femininity. The problem is ""Progressive"" Left individuals such as Denise do not understand the difference between men being Masculine and men being  sexual predators. Harvey Weinstein was a sexual predator, that has nothing to do with Masculinity.",0,1,0,1,0,hostility_not_group_directed,0,argument about masculinity; names one writer
6223451,0.7887,1,Change 'Catholic' to 'Islamic' and watch him froth at the mouth.,0,0,0,0,0,hostility_not_group_directed,0,"'froth at the mouth' aimed at one commenter, alleging a double standard"
6294036,0.968,1,What a shame. Fame and money got to his head. Should return. He is talented. The kid turned into a gigolo in over drive. Give me more money or I'll tell! What a schumuck. Reminds me of that Filipino gay killer Andrew Cunanan. Killed Versace.,0,0,0,0,0,group_directed_derogation,1,"'Filipino gay killer' as a descriptor, plus 'gigolo' and 'schumuck'"
6296716,0.5103,1,This is Christian extremism... because Christians got shot? What? Makes no sense.,0,0,0,0,0,identity_topic_neutral,0,challenges a claim about Christian extremism; no hostility
7003218,0.567,1,"The reason Clinton lost the debate is because after 30 years in the public eye ...lying, cheating, stealing, double dealing, bullying women her husband raped, more lying, selling out the country for money, killing 50-70 people along the way ...We all know just who and most importantly what Hillary Clinton is and as a result, save for a small handful of the hopelessly confused ideologues and kool aid drinkers (like GC) NOTHING SHE SAYS IS CREDIBLE ... thats why she can't ever win a debate or the election because when push comes to shove no one likes her, no one believes her or anything she says and very few people are going to vote for her. She stole your vote GC ...she lied cheated and stole the Dem primary and the nomination and everyone knew it and everyone saw it and no one on your side said a a word... stunning!",0,1,1,1,0,hostility_not_group_directed,1,"sustained accusations against a politician, including 'killing 50-70 people'"
7032449,0.5704,1,"Hi Paul22:  Your comments speak for themselves.  Please watch the Billy Bush video again.  Trump was not referring to ""foreplay"" before ""making love"".  He was describing how, because of his exalted status, could ""grab women my the P#$#^%"".  He was boasting of having committed sexual assault and being ""above"" any accountability for doing so.  

Make it through the next 4 years?  Guess what?  I think I'll make it through in far better shape than will Mr. Trump.  Already, in jus a few days, he's made a massive fool of himselve on several ocassions......and, he's just getting ""warmed up.""  cheers, Gary Crum",0,1,1,1,0,quoted_hostility,0,reports and criticises Trump's recorded words
7091486,0.7887,1,"Yes, they condemn Islamic terrorists, who are no different than Nazis and White Supremacists. Different versions of the same evil, intolerant, right wing ideology.",1,0,0,0,0,counter_speech,0,defends Muslims by noting they condemn terrorists
7181446,0.7754,1,"time to remove the Catholic churches non-profit status for engaging in political attacks... Jesus is not dead, god is not dead, the catholic church is dead. Brain washed poor Latinos that had their society destroyed by the so called catholic missionaries are still the victims of the crazed catholic teachings of communism and child molesting.... but as the pope said, who am I to judged.... oh right, he is the criminal leftwing pope from hell sitting on his pile of gold telling other people they should give him more money, got it.... sounds more like Hillary Clinton than any pope I ever hear of...",0,1,0,1,0,group_directed_derogation,1,"'brain washed poor Latinos', 'crazed catholic teachings', 'pope from hell'"
